Year,Fix360ppm,CMIP5_RCP85,CMIP5_historical,CMIP5_RCP3PD,CMIP5_RCP45,CMIP5_RCP60,CMIP6_historical,CMIP6_SSP119,CMIP6_SSP126,CMIP6_SSP245,CMIP6_SSP370,CMIP6_SSP434,CMIP6_SSP460,CMIP6_SSP585
1750,360,,,,,,277.15,,,,,,,
1751,360,,,,,,277.19,,,,,,,
1752,360,,,,,,277.23,,,,,,,
1753,360,,,,,,277.26,,,,,,,
1754,360,,,,,,277.3,,,,,,,
1755,360,,,,,,277.35,,,,,,,
1756,360,,,,,,277.39,,,,,,,
1757,360,,,,,,277.44,,,,,,,
1758,360,,,,,,277.49,,,,,,,
1759,360,,,,,,277.54,,,,,,,
1760,360,,,,,,277.61,,,,,,,
1761,360,,,,,,277.66,,,,,,,
1762,360,,,,,,277.73,,,,,,,
1763,360,,,,,,277.8,,,,,,,
1764,360,,,,,,277.86,,,,,,,
1765,360,278.05158,278.05158,278.05158,278.05158,278.05158,277.91,,,,,,,
1766,360,278.10615,278.10615,278.10615,278.10615,278.10615,277.96,,,,,,,
1767,360,278.22039,278.22039,278.22039,278.22039,278.22039,278.02,,,,,,,
1768,360,278.34305,278.34305,278.34305,278.34305,278.34305,278.08,,,,,,,
1769,360,278.47058,278.47058,278.47058,278.47058,278.47058,278.14,,,,,,,
1770,360,278.60047,278.60047,278.60047,278.60047,278.60047,278.19,,,,,,,
1771,360,278.73275,278.73275,278.73275,278.73275,278.73275,278.27,,,,,,,
1772,360,278.86881,278.86881,278.86881,278.86881,278.86881,278.33,,,,,,,
1773,360,279.00907,279.00907,279.00907,279.00907,279.00907,278.41,,,,,,,
1774,360,279.15318,279.15318,279.15318,279.15318,279.15318,278.49,,,,,,,
1775,360,279.3018,279.3018,279.3018,279.3018,279.3018,278.59,,,,,,,
1776,360,279.4568,279.4568,279.4568,279.4568,279.4568,278.68,,,,,,,
1777,360,279.61808,279.61808,279.61808,279.61808,279.61808,278.77,,,,,,,
1778,360,279.78192,279.78192,279.78192,279.78192,279.78192,278.87,,,,,,,
1779,360,279.9432,279.9432,279.9432,279.9432,279.9432,278.96,,,,,,,
1780,360,280.0974,280.0974,280.0974,280.0974,280.0974,279.05,,,,,,,
1781,360,280.2428,280.2428,280.2428,280.2428,280.2428,279.14,,,,,,,
1782,360,280.38168,280.38168,280.38168,280.38168,280.38168,279.24,,,,,,,
1783,360,280.51832,280.51832,280.51832,280.51832,280.51832,279.34,,,,,,,
1784,360,280.6572,280.6572,280.6572,280.6572,280.6572,279.43,,,,,,,
1785,360,280.8026,280.8026,280.8026,280.8026,280.8026,279.53,,,,,,,
1786,360,280.9568,280.9568,280.9568,280.9568,280.9568,279.63,,,,,,,
1787,360,281.11808,281.11808,281.11808,281.11808,281.11808,279.73,,,,,,,
1788,360,281.28192,281.28192,281.28192,281.28192,281.28192,279.83,,,,,,,
1789,360,281.4432,281.4432,281.4432,281.4432,281.4432,279.93,,,,,,,
1790,360,281.5982,281.5982,281.5982,281.5982,281.5982,280.04,,,,,,,
1791,360,281.74682,281.74682,281.74682,281.74682,281.74682,280.14,,,,,,,
1792,360,281.89093,281.89093,281.89093,281.89093,281.89093,280.24,,,,,,,
1793,360,282.03119,282.03119,282.03119,282.03119,282.03119,280.33,,,,,,,
1794,360,282.16725,282.16725,282.16725,282.16725,282.16725,280.42,,,,,,,
1795,360,282.29901,282.29901,282.29901,282.29901,282.29901,280.49,,,,,,,
1796,360,282.4268,282.4268,282.4268,282.4268,282.4268,280.55,,,,,,,
1797,360,282.55093,282.55093,282.55093,282.55093,282.55093,280.62,,,,,,,
1798,360,282.67123,282.67123,282.67123,282.67123,282.67123,280.68,,,,,,,
1799,360,282.7873,282.7873,282.7873,282.7873,282.7873,280.75,,,,,,,
1800,360,282.89901,282.89901,282.89901,282.89901,282.89901,280.83,,,,,,,
1801,360,283.00677,283.00677,283.00677,283.00677,283.00677,280.92,,,,,,,
1802,360,283.11093,283.11093,283.11093,283.11093,283.11093,280.99,,,,,,,
1803,360,283.21129,283.21129,283.21129,283.21129,283.21129,281.07,,,,,,,
1804,360,283.30737,283.30737,283.30737,283.30737,283.30737,281.16,,,,,,,
1805,360,283.39963,283.39963,283.39963,283.39963,283.39963,281.23,,,,,,,
1806,360,283.48978,283.48978,283.48978,283.48978,283.48978,281.32,,,,,,,
1807,360,283.57796,283.57796,283.57796,283.57796,283.57796,281.41,,,,,,,
1808,360,283.66116,283.66116,283.66116,283.66116,283.66116,281.5,,,,,,,
1809,360,283.73511,283.73511,283.73511,283.73511,283.73511,281.57,,,,,,,
1810,360,283.79676,283.79676,283.79676,283.79676,283.79676,281.65,,,,,,,
1811,360,283.84667,283.84667,283.84667,283.84667,283.84667,281.72,,,,,,,
1812,360,283.88853,283.88853,283.88853,283.88853,283.88853,281.79,,,,,,,
1813,360,283.92613,283.92613,283.92613,283.92613,283.92613,281.86,,,,,,,
1814,360,283.96267,283.96267,283.96267,283.96267,283.96267,281.93,,,,,,,
1815,360,284.00107,284.00107,284.00107,284.00107,284.00107,281.99,,,,,,,
1816,360,284.04267,284.04267,284.04267,284.04267,284.04267,282.06,,,,,,,
1817,360,284.08613,284.08613,284.08613,284.08613,284.08613,282.13,,,,,,,
1818,360,284.12853,284.12853,284.12853,284.12853,284.12853,282.2,,,,,,,
1819,360,284.16667,284.16667,284.16667,284.16667,284.16667,282.27,,,,,,,
1820,360,284.1982,284.1982,284.1982,284.1982,284.1982,282.35,,,,,,,
1821,360,284.22333,284.22333,284.22333,284.22333,284.22333,282.42,,,,,,,
1822,360,284.24427,284.24427,284.24427,284.24427,284.24427,282.48,,,,,,,
1823,360,284.26307,284.26307,284.26307,284.26307,284.26307,282.54,,,,,,,
1824,360,284.28133,284.28133,284.28133,284.28133,284.28133,282.62,,,,,,,
1825,360,284.30027,284.30027,284.30027,284.30027,284.30027,282.68,,,,,,,
