,Soil layer,Soil depth cm,Pinuscontorta_10yrsSeedling,BigSagebrushEcosystem_cm,Shortgrass_JBB_cm,Shortgrass3,ShortgrassSteppe_MeanOf_Liang1989Singh1998_cm,ShortgrassSteppe_MeanOf_Liang1989Singh1998_WeightedByShrub_cm,FILL,C3_John,C4_John,Annuals_John,SchenkJackson2003_PCdry_shrubs,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_forbs,Jacksonetal1996_crops,Bradfordetal2014_LodgepolePine
LayerORDepthCM,Layer,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM
Source,,,"Nadeau LB, Pluth DJ (1997) Canadian Journal of Forest Research, 27, 1606-1613.",,"Bradford JB, Lauenroth WK (2006) Journal of Vegetation Science, 17, 693-704.",Dave Smith Thesis (2003),,,,,,,,,,,Bradford et al. (2014) Ecosystems 17:590–605
,L1,1,0.045999057,0.026667041,0.033333333,0.028,0.03886502,0.039583235,0.005,0.03,0.03886502,0.03,0.0226053662,0.0355186014,0.0355186014,0.039,0.03
,L2,2,0.045999057,0.026667041,0.033333333,0.028,0.03886502,0.039583235,0.005,0.03,0.03886502,0.03,0.0220943636,0.0342570304,0.0342570304,0.037479,0.03
,L3,3,0.045999057,0.026667041,0.033333333,0.028,0.03886502,0.039583235,0.005,0.03,0.03886502,0.03,0.0215949124,0.0330402685,0.0330402685,0.036017319,0.03
,L4,4,0.045999057,0.026667041,0.012416667,0.028,0.03886502,0.039583235,0.005,0.03,0.03886502,0.03,0.0211067515,0.0318667244,0.0318667244,0.0346126436,0.03
,L5,5,0.045999057,0.026667041,0.012416667,0.028,0.03886502,0.039583235,0.005,0.03,0.03886502,0.03,0.0206296257,0.0307348629,0.0307348629,0.0332627505,0.03
,L6,6,0.045999057,0.01868376,0.012416667,0.028,0.03886502,0.039583235,0.005,0.025,0.03886502,0.025,0.0201632855,0.0296432036,0.0296432036,0.0319655032,0.026
,L7,7,0.045999057,0.01868376,0.012416667,0.028,0.03886502,0.039583235,0.005,0.025,0.03886502,0.025,0.019707487,0.0285903185,0.0285903185,0.0307188486,0.026
,L8,8,0.045999057,0.01868376,0.012416667,0.028,0.03886502,0.039583235,0.005,0.025,0.03886502,0.025,0.019261992,0.0275748303,0.0275748303,0.0295208135,0.026
,L9,9,0.034474051,0.01868376,0.012416667,0.028,0.03886502,0.039583235,0.005,0.025,0.03886502,0.025,0.0188265677,0.0265954109,0.0265954109,0.0283695017,0.026
,L10,10,0.034474051,0.01868376,0.012416667,0.028,0.03886502,0.039583235,0.005,0.025,0.03886502,0.025,0.0184009862,0.0256507791,0.0256507791,0.0272630912,0.026
,L11,11,0.034474051,0.017583578,0.012416667,0.028,0.03886502,0.039583235,0.005,0.0175,0.025076242,0.0175,0.0179850252,0.0247396993,0.0247396993,0.0261998306,0.022
,L12,12,0.034474051,0.017583578,0.012416667,0.028,0.03886502,0.039583235,0.005,0.0175,0.025076242,0.0175,0.0175784671,0.0238609798,0.0238609798,0.0251780372,0.022
,L13,13,0.034474051,0.017583578,0.012416667,0.028,0.03886502,0.039583235,0.005,0.0175,0.025076242,0.0175,0.0171810994,0.0230134712,0.0230134712,0.0241960938,0.022
,L14,14,0.034474051,0.017583578,0.012416667,0.028,0.03886502,0.039583235,0.005,0.0175,0.025076242,0.0175,0.0167927144,0.0221960649,0.0221960649,0.0232524461,0.022
,L15,15,0.034474051,0.017583578,0.012416667,0.028,0.03886502,0.039583235,0.005,0.0175,0.025076242,0.0175,0.0164131089,0.0214076917,0.0214076917,0.0223456007,0.022
,L16,16,0.034474051,0.017583578,0.0226,0.014,0.011287464,0.011688716,0.005,0.0175,0.025076242,0.0175,0.0160420846,0.0206473204,0.0206473204,0.0214741223,0.018
,L17,17,0.034474051,0.017583578,0.0226,0.014,0.011287464,0.011688716,0.005,0.0175,0.025076242,0.0175,0.0156794474,0.0199139565,0.0199139565,0.0206366315,0.018
,L18,18,0.034474051,0.017583578,0.0226,0.014,0.011287464,0.011688716,0.005,0.0175,0.025076242,0.0175,0.0153250077,0.0192066406,0.0192066406,0.0198318029,0.018
,L19,19,0.006020819,0.017583578,0.0226,0.014,0.011287464,0.011688716,0.005,0.0175,0.025076242,0.0175,0.0149785803,0.0185244476,0.0185244476,0.0190583626,0.018
,L20,20,0.006020819,0.017583578,0.0226,0.014,0.011287464,0.011688716,0.005,0.0175,0.025076242,0.0175,0.014639984,0.0178664851,0.0178664851,0.0183150864,0.018
,,21,0.006020819,0.017428202,0.0226,0.014,0.011287464,0.011688716,0.005,0.0125,0.016849537,0.0125,0.0143090418,0.0172318925,0.0172318925,0.0176007981,0.00602
,,22,0.006020819,0.017428202,0.0226,0.014,0.011287464,0.011688716,0.005,0.0125,0.016849537,0.0125,0.0139855807,0.0166198398,0.0166198398,0.0169143669,0.00602
