SW2 output group	SW2 variable	SW2 txt output	SW2 units	XY+Dim	Do output?	netCDF variable name	netCDF long_name	netCDF comment	netCDF units	netCDF cell_method	User comment
TEMP	temp_max	max_C	degC	T	1	tasmax	daily maximum air temperature	NA	degC	time: maximum	CMIP6/CMOR3
TEMP	temp_min	min_C	degC	T	1	tasmin	daily minimum air temperature	NA	degC	time: minimum	CMIP6/CMOR3
TEMP	temp_avg	avg_C	degC	T	1	tas	daily mean air temperature	NA	degC	time: mean	CMIP6/CMOR3
TEMP	surfaceMax	surfaceTemp_max_C	degC	T	1	tgsmax	daily maximum soil surface temperature	NA	degC	time: maximum	Not standardized but see tgs
TEMP	surfaceMin	surfaceTemp_min_C	degC	T	1	tgsmin	daily minimum soil surface temperature	NA	degC	time: minimum	Not standardized but see tgs
TEMP	surfaceAvg	surfaceTemp_avg_C	degC	T	1	tgs	daily mean soil surface temperature	NA	degC	time: mean	CMIP6/CMOR3
PRECIP	ppt	ppt	cm	T	1	pr	precipitation amount	total accumulated precipitation	mm	time: sum	CMIP6/CMOR3
PRECIP	rain	rain	cm	T	1	prra	rainfall amount	total accumulated rainfall	mm	time: sum	CMIP6/CMOR3
PRECIP	snow	snow_fall	cm	T	1	prsn	snowfall amount	total accumulated snowfall	mm	time: sum	CMIP6/CMOR3
PRECIP	snowmelt	snowmelt	cm	T	1	snm	surface snow melt amount	total accumulated snow loss due to surface melting	mm	time: sum	CMIP6/CMOR3
PRECIP	snowloss	snowloss	cm	T	1	esn	surface snow sublimation amount	total accumulated surface snow loss due to sublimation	mm	time: sum	CMIP6/CMOR3
SOILINFILT	soil_inf	soil_inf	cm	T	1	infiltration	infiltration amount	downward movement of water amount at soil surface	mm	time: sum	NA
RUNOFF	net	net	cm	T	1	mrros	total surface runoff amount	net surface runoff amount (runoff - runon) (excluding drainage through the base of the soil model)	mm	time: sum	CMIP6/CMOR3
RUNOFF	surfaceRunoff	ponded_runoff	cm	T	1	runoff	surface runoff amount	surface runoff amount (excluding drainage through the base of the soil model)	mm	time: sum	NA
RUNOFF	snowRunoff	snowmelt_runoff	cm	T	1	runoffsn	surface runoff amount from snow	surface runoff amount from snow (excluding drainage through the base of the soil model)	mm	time: sum	NA
RUNOFF	surfaceRunon	ponded_runon	cm	T	1	runon	runon amount	surface runon amount (excluding drainage through the base of the soil model)	mm	time: sum	NA
SURFACEWATER	surfaceWater	surfaceWater_cm	cm	T	1	sw	land surface liquid water amount	"Surface water storage other than soil, snow or interception storage"	mm	time: sum	CMIP6/CMOR3
EVAPSURFACE	total_evap	evap_total	cm	T	1	eclow	"water evaporation amount from canopy, above-ground litter, and surface water"	"Evaporation from water intercepted by canopy or by above-ground litter and from open water (excluding bare soil evaporation), i.e., ec + eLitterAbove + eow"	mm	time: sum	NA
EVAPSURFACE	evap_veg	evap_<veg>	cm	TV	1	ecPFT	water evaporation amount from canopy by plant functional type	Interception evaporation by plant functional type	mm	time: sum	Not standardized but see ec
EVAPSURFACE	litter_evap	evap_litter	cm	T	1	eLitterAbove	water evaporation amount from above-ground litter	NA	mm	time: sum	Not standardized but see ec and cLitterAbove
